Titre,Réalisateur,Scénariste,Compositeur,Directeur photo,Directeur montage,Acteur 1,Acteur 2,Acteur 3,Genre,Popularité genre,Popularité thème,Rareté émotion,Référence,Budget (M$),Box Office (M$),Rentabilité (%),Succès
The Hurt Locker,Kathryn Bigelow,Mark Boal,Marco Beltrami,Barry Ackroyd,Bob Murawski,Jeremy Renner,Anthony Mackie,Ralph Fiennes,Guerre,2,1,2,2,11,49.2,347.2727273,2
Avatar,James Cameron,James Cameron,James Horner,Mauro Fiore,James Cameron,Sam Worshington,Zoe Saldana,Sigourney Weaver,SF,3,2,3,1,425,2790,556.4705882,2
The King's Speech,Tom Hooper,David Seidler,Alexandre Desplat,Danny Cohen,Tariq Anwar,Colin Firfth,Geodffrey Rush,Helena Bonham Carter,Drame,1,1,2,2,10,414,4040,2
Inception,Christopher Nolan,Christopher Nolan,Hans Zimmer,Wally Pfister,Lee Smith,Leonardo DiCaprio,Ellen Page,Marion Cotillard,SF,3,2,3,0,160,825,415.625,2
The Social Network,David Fincher,Aaron Sorkin,Trent Reznor,Jeff Cronenweth,Kirk Baxter,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Biopic,2,1,2,1,40,224,460,2
Midnight in Paris,Woody Allen,Woody Allen,Stéphane Wrembel,Darius Khondji,Alisa Lepselter,Owen Wilson,Marion Cotillard,Rachel McAdams,Comédie,3,0,1,0,30,151,403.3333333,2
The Artist,Michel Hazanavicius,Michel Hazanavicius,Ludovic Bource,Guillaume Schiffman,Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,James Cromwell,Comédie,3,1,2,1,12,133,1008.333333,2
Hugo Cabret,Martin Scorsese,John Logan,Howard Shore,Robert Richardson,Thelma Schoonmaker,Asa Butrerfield,Chloë Grace Moretz,Ben Kingsley,Fantastique,2,0,0,0,160,186,16.25,1
The Girl with the Dragon Tatto,David Fincher,Steven Zaillian,Trent Reznor,Jeff Cronenweth,Kirk Baxter,Daniel Craig,Rooney Mara,Stellan Skarsgård,Thriller,3,1,2,2,90,232,157.7777778,2
Django Unchained,Quentin Tarantino,Quentin Tarantino,Ennio Morricone,Robert Richardson,Fred Raskin,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Western,1,2,3,1,100,425.4,325.4,2
Life of Pi,Ang Lee,David Magee,Mychael Danna,Claudio Miranda,Tim Squyres,Suraj Sharma,Irrfan Khan,Ayush Tandon,Aventure,3,2,3,1,100,609,509,2
Argo,Ben Affleck,Chris Terrio,Alexandre Desplat,Rodrigo Prieto,William Goldenberg,Ben Affleck,Bryan Cranston,John Goodman,Thriller,3,0,1,1,44.5,232.3,422.0224719,2
Her,Spike Jonze,Spike Jonze,Arcade Fire,Hoyte Van Hoytema,Jeff Buchanan,Joaquin Phoenix,Scarlett Johansson,Amy Adams,SF,3,1,2,1,23,48.3,110,2
Gravity,Alfonso Cuarón,Alfonso Cuarón,Steven Price,Emmanuel Lubezki,Alfonso Cuarón,Sandra Bullock,Georges Clooney,Ed Harris,SF,3,2,3,1,100,723.2,623.2,2
Gone Girl,David Fincher,Gillian Flynn,Trent Reznor,Jeff Cronenweth,Kirk Baxter,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Thriller,3,2,3,1,61,369,504.9180328,2
Drive,Nicolas Winding Refn,Hossein Amini,Cliff Martinez,Newton Thomas Sigel,Matthew Newman,Ryan Gosling,Carey Mulligan,Bryan Cranston ,Thriller,3,2,3,0,16,81.4,408.75,2
Only God Forgives,Nicolas Winding Refn,Nicolas Winding Refn,Cliff Martinez,Larry Smith,Matthew Newman,Ryan Gosling,Kristin Scott Thomas,Vithaya Pansringarm,Thriller,3,2,3,1,3.6,10.6,194.4444444,2
Interstellar,Christopher Nolan,Christopher Nolan,Hans Zimmer,Hoyte Van Hoytema,Lee Smith,Matthew McConaughey,Anne Hathaway,Jessica Chastain,SF,3,2,3,0,165,677.5,310.6060606,2
Trance,Danny Boyle,Joe Ahearne,Rick Smith,Anthony Dod Mantle,Jon Harris,James McAvoy ,Rosario Dawson,Vincent Cassel,Thriller,3,0,0,0,20,24.2,21,1
127 hours,Danny Boyle,Danny Boyle,A.R. Rahman,Enrique Chediak,Jon Harris,James Franco,Clémence Poésy,Kate Mara,Drame,1,0,1,0,18,60.7,237.2222222,2
Incendies,Denis Villeneuve,Denis Villeneuve,Grégoire Hetzel,André Turpin,Monique Dartonne,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Drame,1,1,2,0,6.5,16,146.1538462,2
Prisoners,Denis Villeneuve,Aaron Guzikowski,Jóhann Jóhannsson,Roger Deakins,Joel Cox,Hugh Jackman,Jake Gyllenhaal,Maria Bello,Policier,2,2,2,0,46,122.1,165.4347826,2
Enemy,Denis Villeneuve,Javier Gullón,Danny Bensi,Nicolas Bolduc,Matthew Hannam,Jake Gyllenhaal,Mélanie Laurent,Sarah Gadon,Fantastique,2,1,2,0,29,3.4,-88.27586207,0
Les Misérables,Tom Hooper,William Nicholson,Claude-Michel Schönberg,Danny Cohen,Chris Dickens,Hugh Jackman,Russell Crowe,Sacha Baron Cohen,Drame,1,2,1,2,61,441.8,624.2622951,2
Enter the Void,Gaspar Noé,Gaspar Noé,Thomas Bangalter,Benoît Debie,Gaspar Noé,Nathaniel Brown,az de la Huerta,Olly Alexander,Fantastique,2,2,3,1,12,1.5,-87.5,0
The tree of Life,Terrence Malick,Terrence Malick,Alexandre Desplat,Emmanuel Lubezki,Hank Corvin,Brad Pitt,Jessica Chastain,Sean Penn,Drame,1,2,3,0,32,61.7,-94.375,0
Song to song,Terrence Malick,Terrence Malick,Aucun,Emmanuel Lubezki,Brian Berdan,Ryan Gosling,Rooney Mara,Michael Fassbender,Drame,1,0,1,0,5,1.8,466,2
The Master,Paul Thomas Anderson,Paul Thomas Anderson,Jonny Greenwood,Mihai Malaimare Jr,Leslie Jones,Joaquin Phoenix,Philip Seymour Hoffman,Amy Adams,Drame,1,2,2,0,35,28.3,-19.14285714,0
Blue Jasmine,Woody Allen,Woody Allen,Christopher Lennertz,Javier Aguirresarobe,Alisa Lepselter,Cate Blanchett,Sally Hawkins,Alec Baldwin,Drame,1,0,1,0,18,97.5,441.6666667,2
To Rome with love,Woody Allen,Woody Allen,Mop Mop.,Darius Khondji,Alisa Lepselter,Woody Allen,Alec Baldwin,Roberto Benigni,Comédie,3,0,1,0,21.5,73.2,240.4651163,2
Melancholia,Lars von trier,Lars von trier,Aucun,Manuel Alberto Claro,Molly Marlene Stensgaard,Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,Catastrophe,1,2,3,1,6.8,15.9,133.8235294,2
Nymphomaniac,Lars von trier,Lars von trier,Kristian Eidnes Andersen,Manuel Alberto Claro,Molly Marlene Stensgaard,Charlotte Gainsbourg,Stacy Martin,Stellan Skarsgård,Drame,1,0,1,1,9.4,10.3,9.574468085,1
Promised Land,Gus van Sant,John Krasinski,Danny Elfman,Linus Sandgren,Billy Rich,Matt Damon,John Krasinki,Frances McDormand,Drame,1,1,1,0,15,8.1,-46,0
Restless,Gus van Sant,Jason Lew,Danny Elfman,Harris Savides,Elliot Graham,Mia Wasikowska,Henry Hopper,Ryo Kase,Drame,1,0,1,0,8,1.6,-80,0
Cloud Atlas,Wachowskis,Wachowskis,Reinhold Heil,Frank Griebe,Alexander Berner,Tom Hanks,Halle Berry,Hugo Weaving,SF,3,2,3,2,128.5,130.5,1.556420233,1
The Wolf of Wall Street,Martin Scorsese,Terence Winter,Howard Shore,Rodrigo Prieto,Thelma Schoonmaker,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Biopic,2,1,2,1,100,392,292,2
War horse,Steven Spielberg,Richard Curtis,John Williams,Janusz Kamiński,Michael Kahn,Jeremy Irvine,Tom Hiddleston,Benedict Cumberbatch,Historique,2,0,1,1,66,177.6,169.0909091,2
Lincoln,Steven Spielberg,Tony Kushner,John Williams,Janusz Kamiński,Michael Kahn,Daniel Day-Lewis,Sally Field,Tommy Lee Jones,Biopic,2,1,2,1,65,275.3,323.5384615,2
Prometheus,Ridley Scott,Damon Lindelof,Marc Streitenfeld,Dariusz Wolski,Pietro Scalia,Noomi Rapace,Michael Fassbender,Charlize Theron,SF,3,1,2,0,130,403.4,210.3076923,2
Robin Hood,Otto Bathurst,Ben Chandler,Joseph Trapanese,George Steel,Chris Barwell,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Aventure,3,0,0,1,100,84.8,-15.2,0
Cartel,Ridley Scott,Cormac McCarthy,Daniel Pemberton,Dariusz Wolski,Pietro Scalia,Michael Fassbender,Penélope Cruz,Cameron Diaz,Thriller,3,0,1,0,25,71,184,2
American Bluff,Damon Lindelof,Eric Warren Singer,Danny Elfman,Linus Sandgren,Alan Baumgarten,Christian Bale,Bradley Cooper,Amy Adams,Policier,2,1,2,1,40,251.2,528,2
12 years a slave,Steve McQueen,John Ridley,Hans Zimmer,Sean Bobbitt,Joe Walker,Chiwetel Ejiofor,Michael Fassbender,Lupita Nyong'o,Historique,2,2,3,3,21,187.7,793.8095238,2
Shame,Steve McQueen,Steve McQueen,Harry Escott,Sean Bobbitt,Joe Walker,Michael Fassbender,Carey Mulligan,James Badge Dale,Drame,0,2,3,2,6.5,20.4,213.8461538,2
Dallas Buyers club,Jean-Marc Vallée,Craig Borten,Danny Elfman,Yves Bélanger,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Jared Leto,Historique,2,2,2,3,5.5,55.2,903.6363636,2
Moonrise kingdom,Wes Anderson,Wes Anderson,Alexandre Desplat,Robert D. Yeoman,Andrew Weisblum,Bruce Willis,Edward Norton,Bill Murray,Comédie,3,2,3,1,16,63.9,299.375,2
Snowpiercer,Bong Joon-ho,Bong Joon-ho,Marco Beltrami,Hong Kyung-pyo,Steve M. Choe,Chris Evans,Song Kang-ho,Ed Harris,SF,3,1,2,1,40,86.8,117,2
Mother,Bong Joon-ho,Bong Joon-ho,Lee Byeong-woo,Alex Hong Kyung-Pyo,Moon Sae-kyoung,Kim Hye-ja,Won Bin,Jin Goo,Drame,1,2,3,0,5,17.1,242,2
Black Swann,Darren Aronofsky,Darren Aronofsky,Clint Mansell,Matthew Libatique,Andrew Weisblum,Natalie Portman,Mila Kunis,Vincent Cassel,Thriller,3,2,3,1,13,329.4,2433.846154,2
Stoker,Park Chan-wook,Wentworth Miller,Clint Mansell,Chung Chung-hoon,Nicolas De Toth,Mia Wasikowska,Nicole Kidman,Matthew Goode,Drame,1,1,2,0,12,12.1,0.833333333,1
John Carter,Andrew Stanton,Andrew Stanton,Michael Giacchino,Daniel Mindel,Eric Zumbrunnen,Taylor Kitsch,Lynn Collins,Samantha Morton,Fantastique,2,1,0,0,260,284,9.230769231,1
RIPD,Robert Schwentke,Phil Hay,Christophe Beck,Alwin H. Kuchler,Mark Helfrich,Jeff Bridges,Ryan Reynolds,Kevin Bacon,Action,3,0,0,0,154,78,-49.35064935,0
The Lone Ranger,Gore Verbinski,Ted Elliott,Hans Zimmer,Bojan Bazelli,Craig Wood,Johnny Depp,Armie Hammer,Helena Bonham Carter,Western,1,0,0,0,215,260,20.93023256,1
47 Ronin,Carl Erik Rinsch,Hossein Amini,Ilan Eshkeri,John Mathieson,Stuart Baird,Keanu Reeves,Hiroyuki Sanada,Rinko Kikuchi,Fantastique,2,0,1,1,175,151.8,-13.25714286,0
Man of Tai chi,Keanu Reeves,Michael G. Cooney,Kwong-wing Chan,Elliot Davis,Derek Hui,Keanu Reeves,Tiger Hu Chen,Simon Yam,Action,3,1,1,0,25,5.5,-78,0
Tron Heritage,Joseph Kosinski,Adam Horowitz,Daft Punk,Claudio Miranda,James Haygood,Jeff Bridges,Garreth Boxleitner,Jeff Bridges,SF,3,2,3,1,170,400,135.2941176,2
Invictus,Clint Eastwood,Anthony Peckham,Kyle Eastwood,Tom Stern,Joel Cox,Matt Damon,Morgan Freeman,Tonu Kgoroge,Biopic,2,3,2,2,60,122.1,103.5,2
Intouchables,Olivier Nakache et Éric Toledano,Olivier Nakache et Éric Toledano,Ludovico Einaudi,Mathieu Vadepied,Dorian Rigal-Ansous,François Cluzet,Omar Sy,Audrey Fleurot ,Comédie,3,2,3,3,9.6,444.7,4532.291667,2
Inside Llewyn Davis,Joel et Ethan Coen ,Joel et Ethan Coen ,Marcus Mumford,Bruno Delbonnel,Joel et Ethan Coen ,Oscar Isaac,Carey Mulligan,Justin Timberlake,Comédie,3,0,1,0,11,32.9,199.0909091,2
Dogville,Lars von Trier,Lars von Trier,Aucun,Anthony Dod Mantle,Aucun,Nicole Kidman ,Stellan Skarsgård,Harriet Andersson,Drame,1,2,2,1,10,16.7,67,2
I Origins,Mike Cahill,Mike Cahill,Will Bates,Markus Förderer,Mike Cahill,Michael Pitt,Brit Marling,Àstrid Bergès-Frisbey,Drame,1,2,3,1,0.5,1,100,2
Shutter Island,Martin Scorsese,Laeta Kalogridis,John Powell,Robert Richardson,Thelma Schoonmaker,Leonardo DiCaprio,Mark Ruffalo ,Ben Kingsley,Thriller,3,2,3,2,65,294.8,353.5384615,2
The raid ,Gareth Evans,Gareth Evans,Fajar Yuskemal,Matt Flannery,Gareth Evans,Iko Uwais,Doni Alamsyah,Yayan Ruhian,Action,3,0,1,0,1.1,9.3,745.4545455,2
Under the skin,Jonathan Glazer,Walter Campbell,Mica Levi,Daniel Landin,Paul Watts,Scarlett Johansson,Lynsey Taylor MacKay,Paul Brannigan,SF,3,2,3,1,8,5.2,-35,0
Winter slep,Nuri Bilge Ceylan,Nuri Bilge Ceylan,Aucun,Gökhan Tiryaki,Nuri Bilge Ceylan,Haluk Bilginer,Demet Akbağ,Melisa Sözen,Drame,1,0,1,0,3,4,33.33333333,1
Un prophète,Jacques Audiard,Jacques Audiard,Alexandre Desplat,Stéphane Fontaine,Juliette Welfling,Tahar Rahim,Niels Arestrup,Adel Bencherif,Gangsters,2,0,1,1,13,17.9,37.69230769,1
Warrior,Gavin O'Connor,Gavin O'Connor,Mark Isham,Masanobu Takayanagi,Sean Albertson,Tom Hardy,Joel Edgerton,Frank Grillo,Drame,1,0,1,0,25,23.1,-7.6,0
Gatsby,Baz Luhrmann,Baz Luhrmann,Craig Armstrong,Simon Duggan,Jason Ballantine,Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,Drame,1,1,2,1,105,353.6,236.7619048,2
Mommy,Xavier Dolan,Anne Dorval,Noia,André Turpin,Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Drame,1,2,3,1,4.9,13.1,167.3469388,2
Captain Philipps,Paul Greengrass,Billy Ray,Henry Jackman,Barry Ackroyd,Christopher Rouse,Tom Hanks,Barkhad Abdi,Max Martini,Biopic,2,1,3,3,55,218.8,297.8181818,2
Boyhood,Richard Linklater,Richard Linklater,Franklin Shepard,Lee Daniel,Sandra Adair,Ellar Coltrane ,Patricia Arquette,Ethan Hawke,Comédie,3,2,3,1,4,57.3,1332.5,2
Polisse,Maïwenn,Maïwenn,Stephen Warbeck,Pierre Aïm,Yann Dedet,Karin Viard,Joey Starr,Marina Foïs,Policier,2,2,3,1,7,20.3,190,2
Ted,Seth MacFarlane,Seth MacFarlane,Walter Murphy,Michael Barrett,Jeff Freeman,Mark Wahlberg,Mila Kunis,Seth MacFarlane,Comédie,3,0,1,0,50,549.4,998.8,2
Sanctum,James Cameron,John Garvin,David Hirschfelder,Jules O'Loughlin,Mark Warner,Richard Roxburgh,Rhys Wakefield ,Alice Parkinson,Aventure,3,0,1,0,30,108.6,262,2
Lucy,Luc Besson,Luc Besson,Éric Serra,Thierry Arbogast,Julien Rey,Scarlett Johansson,Morgan Freeman,Choi Min-sik,SF,3,2,2,1,40,463.4,1058.5,2
Chronicle,Josh Trank,Max Landis,Lior Ron,Matthew Jensen,Elliot Greenberg,Alex Russell,Michael B. Jordan,Dane DeHaan,Super-héros,1,2,0,0,12,126.6,955,2
True Grit,Joel et Ethan Coen ,Joel et Ethan Coen ,Carter Burwell,Roger Deakins,Joel et Ethan Coen ,Hailee Steinfeld,Jeff Bridges,Matt Damon,Western,1,2,2,1,38,252.3,563.9473684,2
Cowboys and aliens,Jon Favreau,Roberto Orci,Mark Ulano,Matthew Libatique,Dan Lebental,Daniel Craig,Harrison Ford ,Olivia Wilde,SF,3,0,1,0,163,174.8,7.239263804,1
How Do You Know,James L. Brooks,Janusz Kaminski,Hans Zimmer,Janusz Kaminski,Richard Marks,Reese Witherspoon,Paul Rudd,Owen Wilson,Comédie,3,0,1,0,100,48.6,-51.4,0
Silver Linings Playbook,David O. Russell,David O. Russell,Danny Elfman,Masanobu Takayanagi,Jay Cassidy,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Comédie,3,0,1,1,21,236.4,1025.714286,2
The Place beyond the pines,Derek Cianfrance,Derek Cianfrance,Mike Patton,Sean Bobbitt,Jim Helton,Ryan Gosling,Bradley Cooper,Eva Mendes,Drame,1,2,3,0,15,47,213.3333333,2
Night Call,Dan Gilroy,Dan Gilroy,James Newton Howard,Robert Elswit,Dan Gilroy,Jake Gyllenhaal,Rene Russo,Riz Ahmed ,Thriller,3,2,2,0,8.5,50.3,491.7647059,2
The Immigrant,James Gray,James Gray,Christopher Spelman,Darius Khondji,John Axelrad,Joaquin Phoenix,Marion Cotillard,Jeremy Renner,Drame,1,1,1,1,16.5,5.9,-64.24242424,0
Passion,Brian De Palma,Brian De Palma,Pino Donaggio,José Luis Alcaine,François Gédigier,Rachel McAdams ,Noomi Rapace ,Karoline Herfurth,Thriller,3,1,2,1,30,92,206.6666667,2
Zero dark thirty,Kathryn Bigelow,Mark Boal,Alexandre Desplat,Greig Fraser,William Goldenberg,Jessica Chastain,Jason Clarke,Joel Edgerton,Thriller,3,2,2,2,40,132.8,232,2
White House Down,Rolland Emmerich,James Vanderbilt,Harald Kloser,Anna Foerster,Adam Wolfe,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,Thriller,3,0,0,0,150,205.3,36.86666667,1
Contagion,Steven Soderbergh,Scott Z. Burns,Cliff Martinez,Steven Soderbergh,Stephen Mirrione,Matt Damon,Kate Winslet,Marion Cotillard,Thriller,3,0,0,0,60,135.5,125.8333333,2
The bling ring,Sofia Coppola,Sofia Coppola,Daniel Lopatin,Harris Savides,Sarah Flack,Emma Watson,Leslie Mann,Israel Broussard,Comédie,3,0,0,0,8,19.1,138.75,2
Seven Psychopaths,Martin McDonagh,Martin McDonagh,Carter Burwell,Ben Davis,Lisa Gunning,Colin Farrell,Woody Harrelson,Christopher Walken,Comédie,3,0,1,0,14,33,135.7142857,2
L'immortel,Richard Berry,Richard Berry,Klaus Badelt,Thomas Hardmeier,Camille Delamarre,Jean Reno,Kad Merad,Marina Foïs,Policier,2,0,1,1,18,21.3,18.33333333,1
About time,Richard Curtis,Richard Curtis,Nick Laird-Clowes,John Guleserian,Mark Day,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Comédie,3,1,2,0,12,87.1,625.8333333,2
Revenge,Susanne Bier,Susanne Bier,Johan Söderqvist,Morten Søborg,Johan Söderqvist,Mikael Persbrandt,Trine Dyrholm,Ulrich Thomsen,Drame,1,0,1,0,5.4,9.6,77.77777778,2
